iter	Passed	Remaining
1206	65168	4103
1207	65222	4049
1208	65277	3995
1209	65330	3941
1210	65385	3887
1211	65440	3833
1212	65496	3779
1213	65550	3725
1214	65604	3671
1215	65658	3617
1216	65713	3563
1217	65769	3509
1218	65822	3455
1219	65880	3402
1220	65936	3348
1221	65991	3294
1222	66046	3240
1223	66100	3186
1224	66159	3132
1225	66216	3078
1226	66270	3024
1227	66327	2970
1228	66382	2916
1229	66435	2862
1230	66488	2808
1231	66542	2754
1232	66591	2700
1233	66647	2646
1234	66701	2592
1235	66756	2538
1236	66810	2484
1237	66865	2430
1238	66920	2376
1239	66977	2322
1240	67031	2268
1241	67086	2214
1242	67140	2160
1243	67197	2106
1244	67251	2052
1245	67305	1998
1246	67361	1944
1247	67417	1890
1248	67470	1836
1249	67523	1782
1250	67580	1728
1251	67634	1674
1252	67690	1620
1253	67745	1566
1254	67799	1512
1255	67858	1458
1256	67913	1404
1257	67969	1350
1258	68022	1296
1259	68077	1242
1260	68129	1188
1261	68183	1134
1262	68239	1080
1263	68292	1026
1264	68347	972
1265	68401	918
1266	68457	864
1267	68509	810
1268	68561	756
1269	68616	702
1270	68669	648
1271	68725	594
1272	68781	540
1273	68835	486
1274	68890	432
1275	68943	378
1276	69000	324
1277	69059	270
1278	69119	216
1279	69173	162
1280	69226	108
1281	69283	54
1282	69336	0
